TFMSC Report (Airport),,,,,
,,,,,
"From 01/01/2020 To 08/29/2020 | Airport=ATL, DFW, JFK, LAX, ORD | User Class=Air Carrier | Not Business Jet | Business Aviation=N",,,,,
Date,Airport,Flight Type,Aircraft Type,Departures,Departure Seats
1/2/20,ATL - Atlanta,Domestic,CRJ2 - Bombardier CRJ-200,63,"3,150"
1/2/20,ATL - Atlanta,Domestic,CRJ7 - Bombardier CRJ-700,3,210
1/2/20,ATL - Atlanta,Domestic,E170 - Embraer 170,9,630
1/2/20,ATL - Atlanta,Domestic,E190 - Embraer 190,8,720
1/2/20,ATL - Atlanta,Domestic,B190 - Beech 1900/C-12J,2,0
1/2/20,ATL - Atlanta,Domestic,AC50 - Aero Commander 500,1,4
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,A333 - Airbus A330-300,1,295
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,A35K - Airbus A350-1000,1,369
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,A388 - Airbus A380-800,1,550
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B744 - Boeing 747-400,1,480
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B772 - Boeing 777-200,8,"2,440"
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B77L - Boeing 777-200LRF/LR,1,270
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B77W - Boeing 777-300ER,7,"1,568"
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B752 - Boeing 757-200,1,200
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,A20N - Airbus A320 Neo,1,165
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,A319 - Airbus A319,6,744
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,A320 - Airbus A320 All Series,3,453
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,A321 - Airbus A321 All Series,2,370
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B738 - Boeing 737-800,27,"4,320"
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B788 - Boeing 787-800,4,968
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,B789 - Boeing 787-9 Dreamliner,6,"1,680"
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,E75S - Embraer 175,4,344
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,CRJ9 - Bombardier CRJ-900,1,90
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,E135 - Embraer ERJ 135/140/Legacy,6,210
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,E170 - Embraer 170,17,"1,190"
1/2/20,DFW - Dallas/Ft. Worth,US to Foreign,E190 - Embraer 190,1,90
1/2/20,DFW - Dallas/Ft. Worth,Domestic,B744 - Boeing 747-400,1,480
1/2/20,DFW - Dallas/Ft. Worth,Domestic,B748 - Boeing 747-8,1,0
1/2/20,DFW - Dallas/Ft. Worth,Domestic,B762 - Boeing 767-200,1,0
